SpectraSuite Datei
++++++++++++++++++++++++++++++++++++
Datum: Mon Mar 05 11:09:20 CET 2018
Benutzer: Admin
Dark-Spektrum vorhanden: Ja
Referenz-Spektrum vorhanden: Nein
Zahl der probierten Teilspektren: 1
Spektrometer: USB4F05832
Integrationszeit (usec): 500000 (USB4F05832)
Spektren Durchschnitt berechnet: 6 (USB4F05832)
Boxcar Gl‰ttung: 0 (USB4F05832)
Dunkelstromkorrektur: Nein (USB4F05832)
Puls/Lampe aktiviert: Nein (USB4F05832)
Correct for Detector Non-linearity: Nein (USB4F05832)
Streulichtkorrektur: Nein (USB4F05832)
Anzahl Pixel in verarbeitetem Spektrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
177,54	-18,09
177,75	-18,09
177,97	-18,09
178,19	-48,13
178,41	-18,09
178,63	-12,63
178,85	-18,09
179,07	-14,34
179,29	24,23
179,51	-8,19
179,73	13,65
179,95	-33,45
180,17	-24,92
180,39	3,75
180,61	-31,40
180,83	-4,10
181,05	5,80
181,27	-33,79
181,49	305,49
181,71	521,21
181,92	490,49
182,14	471,72
182,36	511,65
182,58	557,39
182,80	509,26
183,02	555,34
183,24	456,70
183,46	496,63
183,68	472,40
183,90	488,78
184,12	530,08
184,34	463,86
184,56	533,15
184,78	475,47
185,00	547,83
185,21	501,07
185,43	491,51
185,65	505,51
185,87	509,94
186,09	511,65
186,31	507,55
186,53	489,81
186,75	489,81
186,97	466,25
187,19	500,39
187,41	466,94
187,63	518,82
187,84	474,45
188,06	508,58
188,28	514,38
188,50	544,42
188,72	507,90
188,94	505,85
189,16	539,64
189,38	463,52
189,60	530,77
189,82	460,45
190,03	535,89
190,25	508,92
190,47	530,77
190,69	512,67
190,91	547,83
191,13	519,50
191,35	498,34
191,57	542,37
191,79	508,92
192,01	494,24
192,22	546,47
192,44	519,50
192,66	507,55
192,88	526,67
193,10	521,55
193,32	588,45
193,54	548,86
193,76	553,63
193,98	556,36
194,19	534,86
194,41	547,15
194,63	536,91
194,85	580,94
195,07	528,38
195,29	588,79
195,51	620,19
195,73	671,39
195,94	704,16
196,16	761,50
196,38	687,43
196,60	614,05
196,82	577,53
197,04	568,65
197,26	569,68
197,48	532,81
197,69	558,07
197,91	514,72
198,13	562,51
198,35	562,51
198,57	511,99
198,79	517,45
199,01	503,12
199,22	480,59
199,44	539,30
199,66	557,05
199,88	593,91
200,10	548,86
200,32	569,34
200,54	525,65
200,75	542,71
200,97	558,07
201,19	520,87
201,41	614,73
201,63	494,24
201,85	512,67
202,06	508,92
202,28	532,13
202,50	520,18
202,72	488,44
202,94	545,10
203,16	545,78
203,38	539,98
203,59	570,02
203,81	499,02
204,03	507,55
204,25	595,28
