-0.6,,,,,,,,,,-0.0720738
-0.58,,,,,,,,,,-0.0923347
-0.56,,,,,,,,,,-0.114205
-0.54,,,,,,,,,,-0.13842
-0.52,,,,,,,,,,-0.163512
-0.5,,,,,,,,,,-0.190958
-0.48,,,,,,,,,,-0.219321
-0.46,,,,,,,,,,-0.248989
-0.44,,,,,,,,,,-0.278916
-0.42,,,,,,,,,,-0.308013
-0.4,,,,,,,,,,-0.33438
-0.38,,,,,,,,,,-0.35994
-0.36,,,,,,,,,,-0.384259
-0.34,,,,,,,,,,-0.407522
-0.32,,,,,,,,,,-0.427038
-0.3,,,,,,,,,,-0.443884
-0.28,,,,,,,,,,-0.457772
-0.26,,,,,,,,,,-0.468522
-0.24,,,,,,,,,,-0.47795
-0.22,,,,,,,,,,-0.487377
-0.2,,,,,,,,,,-0.497764
-0.18,,,,,,,,,,-0.507978
-0.16,,,,,,,,,,-0.518848
-0.14,,,,,,,,,,-0.530872
-0.12,,,,,,,,,,-0.544443
-0.1,,,,,,,,,,-0.55893
-0.08,,,,,,,,,,-0.574388
-0.06,,,,,,,,,,-0.590953
-0.04,,,,,,,,,,-0.616094
-0.02,,,,,,,,,,-0.656771
-7.00355e-09,,,,,,,,,,-0.692933
0.02,,,,,,,,,,-0.671278
0.04,,,,,,,,,,-0.618379
0.06,,,,,,,,,,-0.567163
0.08,,,,,,,,,,-0.530791
0.1,,,,,,,,,,-0.502091
0.12,,,,,,,,,,-0.478321
0.14,,,,,,,,,,-0.457553
0.16,,,,,,,,,,-0.43792
0.18,,,,,,,,,,-0.419877
0.2,,,,,,,,,,-0.403584
0.22,,,,,,,,,,-0.388383
0.24,,,,,,,,,,-0.37437
0.26,,,,,,,,,,-0.360912
0.28,,,,,,,,,,-0.348063
0.3,,,,,,,,,,-0.335341
0.32,,,,,,,,,,-0.321979
0.34,,,,,,,,,,-0.308812
0.36,,,,,,,,,,-0.295747
0.38,,,,,,,,,,-0.282867
0.4,,,,,,,,,,-0.268791
0.42,,,,,,,,,,-0.253554
0.44,,,,,,,,,,-0.238419
0.46,,,,,,,,,,-0.22289
0.48,,,,,,,,,,-0.207673
0.5,,,,,,,,,,-0.192855
0.52,,,,,,,,,,-0.177666
0.54,,,,,,,,,,-0.161423
0.56,,,,,,,,,,-0.14757
0.58,,,,,,,,,,-0.134019
